Year	DoY	Hour	NEE	PAR	T10
-	-	-	umolm-2s-1	umolm-2s-1	degC
2021	3	15	0.0999495	0.937	0.933
2021	3	15.5	0.15410348	0.029	0.934
2021	3	16	0.170475	0	0.936
2021	3	16.5	0.18944114	0.038	0.934
2021	3	17	0.18585118	0.019	0.936
2021	3	17.5	0.1353033	0	0.935
2021	3	18	0.15740632	0	0.935
2021	3	18.5	0.12967469	0.003	0.936
2021	3	19	0.15943913	0.059	0.936
2021	3	19.5	0.09418549	0.06	0.936
2021	3	20	0.1592452	0.077	0.937
2021	3	20.5	0.13242315	0.07	0.935
2021	3	21	0.15489045	0.111	0.935
2021	3	21.5	0.13897319	0.076	0.937
2021	3	22	0.12912813	0.013	0.935
2021	3	22.5	0.13416818	0.007	0.937
2021	3	23	0.12509382	0	0.935
2021	3	23.5	0.11189332	0.009	0.938
2021	4	0	0.08420971	0.06	0.937
2021	4	0.5	0.09970406	0.065	0.937
2021	4	1	0.19334314	0.081	0.937
2021	4	1.5	0.1493835	0.099	0.939
2021	4	2	0.09714754	0.056	0.937
2021	4	2.5	0.11927874	0.103	0.938
2021	4	3	0.20322658	0.091	0.94
2021	4	3.5	0.149434	0.047	0.94
2021	4	4	0.1778898	0.018	0.939
2021	4	4.5	0.11714095	0.05	0.939
2021	4	5	0.13729522	0.06	0.942
2021	4	5.5	0.1599295	0.082	0.943
2021	4	6	0.1452841	0	0.943
2021	4	6.5	0.1462239	0.018	0.941
2021	4	7	0.10062168	0.056	0.94
2021	4	7.5	0.12953573	0.076	0.94
2021	4	8	0.1055871	0.049	0.939
2021	4	8.5	0.13651469	0.094	0.939
2021	4	9	0.15324467	0.868	0.94
2021	4	9.5	0.13969603	4.531	0.939
2021	4	10	0.14214361	12.03	0.939
2021	4	10.5	0.12327714	20.09	0.939
2021	4	11	0.12166169	51.06	0.94
2021	4	11.5	0.15089323	80.8	0.94
2021	4	12	0.1607942	86.7	0.94
2021	4	12.5	0.15098898	85.7	0.94
2021	4	13	0.1477638	74.9	0.941
2021	4	13.5	0.15928857	51.18	0.941
2021	4	14	0.14442492	21.65	0.938
2021	4	14.5	0.123304	5.186	0.943
2021	4	15	0.10605799	1.041	0.945
2021	4	15.5	0.13123675	0.15	0.941
2021	4	16	0.12609512	0.046	0.941
2021	4	16.5	0.14627729	0.05	0.942
