site,date,tair,tsoil_10cm,WTD,PARin
SE-Deg,2020-04-01,-0.755824795106383,0.3147553191489362,NA,305.42711877489364
SE-Deg,2020-04-02,-2.70036134,0.31409375,NA,209.46716537291667
SE-Deg,2020-04-03,-3.0214575077083334,0.314859375,NA,216.36295401333334
SE-Deg,2020-04-04,-3.175957970833333,0.30876041666666665,NA,328.79036801458335
SE-Deg,2020-04-05,-3.6510194039583332,0.30196875,NA,364.39527446249997
SE-Deg,2020-04-06,0.43216868583333334,0.30250520833333333,NA,274.00003887916665
SE-Deg,2020-04-07,3.84615684375,0.30807812500000004,NA,212.98572997083332
SE-Deg,2020-04-08,4.0541013645833335,0.30283333333333334,NA,255.67863452604166
SE-Deg,2020-04-09,1.0947848129166666,0.29309375,NA,360.06648497645836
SE-Deg,2020-04-10,-0.5093381179166666,0.2796666666666667,NA,342.33929878541664
SE-Deg,2020-04-11,-0.9330043844583333,0.25608854166666667,NA,394.32663427291664
SE-Deg,2020-04-12,-0.1250678575,0.22998437500000002,NA,163.76409466316667
SE-Deg,2020-04-13,-1.7050657277083334,0.22034895833333334,NA,141.56304943746903
SE-Deg,2020-04-14,0.935301955,0.22025,NA,356.29226815
SE-Deg,2020-04-15,2.02479168625,0.22511979166666668,NA,371.90100398541665
SE-Deg,2020-04-16,1.698911381,0.22613020833333333,NA,408.24929839645836
SE-Deg,2020-04-17,1.5521374597916666,0.23128645833333333,NA,422.07119144791665
SE-Deg,2020-04-18,2.25405415,0.24206770833333333,NA,426.37654947390325
SE-Deg,2020-04-19,4.619018739375,0.25160937499999997,NA,407.87064625208336
SE-Deg,2020-04-20,5.1259650416666664,0.252203125,NA,359.1182501895833
SE-Deg,2020-04-21,5.17342223125,0.24504166666666666,NA,477.6217439566042
SE-Deg,2020-04-22,3.3472112020833333,0.24941666666666668,NA,445.0152916795417
SE-Deg,2020-04-23,2.4602330416666667,0.2653020833333333,NA,286.108083995625
SE-Deg,2020-04-24,1.6089691920833333,0.2676822916666667,NA,227.44733548458333
SE-Deg,2020-04-25,1.0763412175,0.2630885416666667,NA,458.9126750009005
SE-Deg,2020-04-26,1.7509521639583334,0.219859375,NA,377.20550582375
SE-Deg,2020-04-27,0.11784020708333334,0.195109375,NA,261.4153202360417
SE-Deg,2020-04-28,-0.8242375833333333,0.18001041666666667,NA,309.6208591972917
SE-Deg,2020-04-29,-0.7642058419583333,0.16435416666666666,NA,395.98755152083334
SE-Deg,2020-04-30,-0.9799052916666666,0.15716145833333334,NA,391.35473271041667
SE-Deg,2020-05-01,0.31104106218749994,0.15863541666666667,7.336035552083334,235.82499404583334
SE-Deg,2020-05-02,1.5503215769166667,0.16427083333333334,7.6463471302083335,146.44803593270834
SE-Deg,2020-05-03,4.326280647916667,0.19754166666666667,7.697794052083333,420.38772700625
SE-Deg,2020-05-04,3.3886317927083334,0.24204166666666668,5.399973618229167,426.4699761339583
SE-Deg,2020-05-05,3.7100793125,0.33751041666666665,3.5176798337760418,490.64842168116667
SE-Deg,2020-05-06,4.317786770833333,0.5385677083333333,2.23193028934375,423.612558719375
SE-Deg,2020-05-07,3.2001175208333335,1.4221197916666666,0.9695941717552083,474.3000849789583
SE-Deg,2020-05-08,1.9771347104166668,1.1957656250000002,-0.45751395457291666,290.1733103052083
SE-Deg,2020-05-09,2.5495219263125,1.1012361111111115,-0.664597331109375,531.2000554835416
SE-Deg,2020-05-10,1.21416983875,1.4751527777777784,-0.12005173155208333,232.44817319020834
SE-Deg,2020-05-11,0.811992329375,1.7141041666666672,-0.5537228740036458,533.49864208125
SE-Deg,2020-05-12,0.932393275,2.428881944444444,-0.7775276890625,450.57407271875
SE-Deg,2020-05-13,1.59016201125,3.1674861111111112,-0.8516019806458334,496.08005250437503
SE-Deg,2020-05-14,1.48113921125,3.6137708333333336,-0.9798276195729166,480.6284110525
SE-Deg,2020-05-15,1.6679812833333334,3.9076180555555546,-0.7890732598645837,482.41562584145834
SE-Deg,2020-05-16,1.394287315,4.2574375,-0.11412805906250081,362.97858954125
SE-Deg,2020-05-17,2.10039048125,4.419284722222222,-0.16102392623437584,364.03082372395835
SE-Deg,2020-05-18,3.6037840802083334,5.283222222222222,-0.41025287947916766,460.343903946875
SE-Deg,2020-05-19,2.1757042791666668,5.5795763888888885,-0.5157227636458344,363.19768954520833
SE-Deg,2020-05-20,4.481368324583333,5.8594375,-0.7944964178125008,444.39035464104165
SE-Deg,2020-05-21,5.475604332916666,7.180291666666667,-1.2062332751041667,576.0562902375
SE-Deg,2020-05-22,7.444017847916666,8.408437499999998,-1.6710878803125,628.33865372625
SE-Deg,2020-05-23,7.8835170625,8.452680555555556,-2.060732759479167,451.52919648958334
